id,entity,label,text
11363,TomClancysRainbowSix,Positive,"#RainbowSixSiege where are hereford, plane, chalet and fortress in casual?! I miss the maps!!!"
11020,TomClancysGhostRecon,Positive,This is how much I enjoy #ghostreconbreakpoint and #division2 I love the lore of both titles. #gaming #gamebooks instagram.com/p/B9feINlnn1U/…
706,ApexLegends,Negative,I’m not gonna spend any more money on #apexlegends until they fix there shit it’s in a worse state then fortnite rn it’s dumb
9850,PlayStation5(PS5),Positive,"Interesting... (for real, this is really awesome looking!)"
6258,FIFA,Positive,"FIFA 21 soars to the top of the charts this week, with 3.6 million players already in-game in the first 24 hours 🤯

Nintendo takes five spots in the top 10 and STAR WARS: SQUADRONS holds on to number 2 for the second week in a row bit.ly/3jMUwq2 https://t.co/bWi1uBMAwH"
7445,LeagueOfLegends,Neutral,.@wandakunpls @Sirhaian Can I just say how fucking much I love Videogames at this point ? I mean its soo insane how @LeagueOfLegends just posts one picture of something we dont really know what it is and now we are trying to understand it and picking the pieces together :D
1579,Battlefield,Negative,"Update: I did not do this

I played battlefield 4 instead. Which was a mistake."
8876,Nvidia,Negative,2.5gbit is SERIOUSLY Threatening NVIDIA Super Review
4880,GrandTheftAuto(GTA),Positive,"Love GTA San Andreas and red death redemption, also I still have my old ps3 slim, I would love to get this please."
4440,Google,Irrelevant,I can't believe that @realDonaldTrump lied.
11229,TomClancysRainbowSix,Neutral,"Solo Q and this freak is spinning as fast as he can to lower the FPS. 
I thought they took this bs out

@Rainbow6Game https://t.co/mlvHMu4qeZ"
6795,Fortnite,Negative,"Hi @FortniteGame 

I get that you wont remove SBMM in pub games, that's okay. 

But WHY THE FUCK do you insist on putting absolute shitters on my team?? 

Wtf."
4094,CS-GO,Positive,best of luck !
7486,LeagueOfLegends,Neutral,You have no idea how ready I am for this. Give me Twisted Fate! #LegendsOfRuneterra #LeagueOfLegends
10227,PlayerUnknownsBattlegrounds(PUBG),Negative,@RoboDanjal any chance I could get a list of the maps for the new PUBG TDM?  I can't seem to find a good list anywhere.
6851,johnson&johnson,Neutral,‘Skunkworks’ at Johnson & Johnson is rushing to develop a coronavirus vaccine inquirer.com/business/drugs… via @phillyinquirer
2243,CallOfDuty,Irrelevant,"Sound ON! Enjoy the groove and this little montage I made in tribute to the Desert Eagle, the most powerful, badass, secondary weapon. Ever. #CallofDuty #ModernWarfare #Xbox @JoeCecot @ArtPeasant @Drift0r https://t.co/WookTjkBmZ"
9348,Overwatch,Irrelevant,"Its normal people hate Overwatch, becouse the comunnity is so toxic.

""Yo, no one have mic""
2seconds later
""YOU ARE TRASH OMFG, GO TO BED, UNISTALL THE GAME""

For that you want the people on the voice chat. xD"
7785,MaddenNFL,Negative,The fact that Chris Godwin isn’t even the highest rated WR from Penn State is an absolute travesty
8069,Microsoft,Positive,Bought a fraction of Microsoft today. Small wins.
11865,Verizon,Neutral,Verizon has joined a growing advertising boycott of Facebook over the social network’s handling of hate speech and decision to allow several contentious posts from Donald Trump to remain on its platform  ft.com/content/5e9624…
8033,Microsoft,Negative,my dick is microsoft
3039,Dota2,Neutral,"Say hello to Sasha Hostyn aka Scarlett, the current highest-earning female eSports player in the world!
She hails from Canada and built her amazing career playing Starcraft 2 and Dota 2.
Much respect to this amazing woman and role model!  
@onfireScarlett pic.twitter.com/DM71V11ctY"
6687,Fortnite,Positive,Un-popular opinion Fortnite is kind of the best game i've ever played. I'ts almost like it was thought up by a person who lives alone.
2802,Dota2,Positive,a bit late but I finally got master tier on my best hero redd.it/j4otzm #dota2 https://t.co/sJKembe0no
10891,TomClancysGhostRecon,Negative,"sometimes the melee just doesn’t wanna go for some reason, i swear i have had so many times where i’m like circling the guy and i just don’t get a CQC melee to initiate 😐😂 #GhostReconBreakpoint #HappyMothersDay  youtu.be/ec6G6_5tsKs https://t.co/89cye39LkR"
3263,Facebook,Positive,Wow
7590,LeagueOfLegends,Neutral,"just lost a game of league of legends bc my pc just restarted without even asking it, kanker windows"
9273,Overwatch,Irrelevant,Its live time with more overwatch shenanigans yall gunna bullshit around and rage at the game lol see ya there! Theta.tv/spazzxattack
2559,Borderlands,Positive,Atleast I have Borderlands to cheer me up :(
5515,Hearthstone,Negative,I miss when Hearthstone was simpler
3671,Cyberpunk2077,Irrelevant,"Everyone know the story of true life-long friendship, but not everyone knows how big chunk of your life is missing when those ends for some reason. Big THANKS @Marykhln for filling that void with great vibes and conversations."
1760,CallOfDutyBlackopsColdWar,Irrelevant,"Another successful stream last night full of laughs & fun while counting down to @CallofDuty COLD WAR ALPHA!! HUGE thanks to all our new subscribers & everyone for the generous donations!! Back at it again this Sunday, don't miss out!! #CallOfDutyBlackOpsColdWar #BlackOpsColdWar pic.twitter.com/yxNVyvwPNl"
